plotid,date,species,tagnumber,status,cankerid,estdbh,dbh2012,symplfct,canker,lidelfct,x,y
FOP333,20-Apr-10,QUAG,1003,Alive,1003-1,38.8,NA,NA,1,NA,535539,4243772
FOP333,1-May-12,QUAG,1003,Alive,1003-1,38.8,40.9,NA,1,NA,535539,4243772
FOP333,18-Apr-11,QUAG,1003,Alive,1003-1,38.8,NA,NA,1,NA,535539,4243772
FOP340,19-Apr-11,QUAG,1009,Alive,1009-1,28,NA,NA,1,NA,535006,4243430
MCCOR01,17-May-10,QUKE,1019,Alive,1019-1,77.5,NA,NA,1,NA,539110,4259852
SUGAR24,15-May-12,QUCH,1034,Alive,1034-1,38.5,36.2,NA,1,NA,542415,4256935
SUGAR23,11-May-11,QUCH,1050,Alive,1050-1,36.6,NA,NA,1,NA,541949,4257544
SUGAR19,16-May-11,QUAG,1066,Alive,1066-1,40,NA,NA,1,NA,543086,4254704
SUGAR19,6-May-10,QUAG,1066,Alive,1066-1,40,NA,NA,1,NA,543086,4254704
SUGAR19,16-May-11,QUAG,1066,Alive,1066-2,40,NA,NA,1,NA,543086,4254704
SUGAR19,6-May-10,QUAG,1066,Alive,1066-2,40,NA,NA,1,NA,543086,4254704
SUGAR19,16-May-11,QUAG,1067,Alive,1067-1,21.5,NA,NA,1,NA,543086,4254704
SUGAR19,16-May-12,QUAG,1067,Alive,1067-1,21.5,21.6,NA,1,NA,543086,4254704
SUGAR19,6-May-10,QUAG,1067,Alive,1067-1,21.5,NA,NA,1,NA,543086,4254704
SUGAR19,6-May-10,QUAG,1067,Alive,1067-2,21.5,NA,NA,1,NA,543086,4254704
SUGAR01,19-May-11,QUKE,1083,Dead,1083-1,31,NA,NA,1,NA,543158,4256456
SVRP01,7-May-10,QUAG,1097,Alive,1097-1,21.6,NA,NA,1,NA,542374,4246003
SVRP01,20-May-11,QUAG,1097,Alive,1097-1,21.6,NA,NA,1,NA,542374,4246003
SVRP01,29-May-12,QUAG,1097,Alive,1097-1,21.6,23.2,NA,1,NA,542374,4246003
SVRP01,20-May-11,QUKE,1098,Alive,1098-1,31.2,NA,NA,1,NA,542374,4246003
SVRP01,29-May-12,QUKE,1098,Alive,1098-1,31.2,36.5,NA,1,NA,542374,4246003
SVRP01,7-May-10,QUKE,1098,Alive,1098-1,31.2,NA,NA,1,NA,542374,4246003
SVRP01,29-May-12,QUKE,1098,Alive,1098-2,31.2,36.5,NA,1,NA,542374,4246003
SVRP01,20-May-11,QUKE,1098,Alive,1098-2,31.2,NA,NA,1,NA,542374,4246003
SUGAR13,11-May-11,LIDE,1120,Alive,1120-1,2.8,NA,NA,1,89,541187,4254925
ANN10,21-Apr-11,QUAG,1129,Alive,1129-1,18.4,NA,NA,1,NA,531251,4252716
