It shoudl look like this

   time         N           P        S1           S2          dN          dP           dS1         dS2         h      ddNdN        ddPdN ddNdP      ddPdP
1     0 1000.0000   0.0000000  994.4189 -21566.36708 -10.0000000  0.09273699  9.153663e+00 1824.751261 6.2900108 -0.5100000 9.273699e-05  -0.1 0.08000000
2     1  992.1526   0.1006141 1001.4985 -19829.40897  -6.0386831  0.10875049  5.319934e+00 1654.978562 6.1981636 -0.5021526 1.217819e-04  -0.1 0.07841024
3     2  987.3964   0.2180801 1005.5524 -18247.05504  -3.6734189  0.12649860  2.979656e+00 1513.518060 6.1101959 -0.4973964 1.546267e-04  -0.1 0.07743512
4     3  984.4951   0.3542986 1007.7607 -16796.04030  -2.2481217  0.14630815  1.554585e+00 1391.166133 6.0243926 -0.4944951 1.918237e-04  -0.1 0.07682704
5     4  982.7143   0.5114867 1008.8472 -15460.13408  -1.3848636  0.16848902  6.906350e-01 1282.638404 5.9397037 -0.4927143 2.339649e-04  -0.1 0.07643877
6     5  981.6133   0.6921716 1009.2558 -14227.22251  -0.8610486  0.19335515  1.713117e-01 1184.778696 5.8554752 -0.4916133 2.816927e-04  -0.1 0.07618164
7     6  980.9243   0.8992025 1009.2598 -13087.69026  -0.5432601  0.22123854 -1.361523e-01 1095.610389 5.7712880 -0.4909243 3.357116e-04  -0.1 0.07600152
8     7  980.4851   1.1357742 1009.0270 -12033.54275  -0.3513864  0.25249956 -3.124169e-01 1013.831521 5.6868660 -0.4904851 3.967991e-04  -0.1 0.07586534
9     8  980.1960   1.4054595 1008.6620 -11057.87183  -0.2366129  0.28753513 -4.069446e-01  938.526885 5.6020157 -0.4901960 4.658184e-04  -0.1 0.07575243
10    9  979.9961   1.7122497 1008.2303 -10154.55908  -0.1692976  0.32678634 -4.497673e-01  869.013121 5.5165919 -0.4899961 5.437314e-04  -0.1 0.07564977
11   10  979.8476   2.0606019 1007.7736  -9318.09488  -0.1314133  0.37074576 -4.590415e-01  804.749467 5.4304758 -0.4898476 6.316132e-04  -0.1 0.07554893
12   11  979.7272   2.4554949 1007.3197  -8543.45986  -0.1119122  0.41996541 -4.457357e-01  745.286272 5.3435608 -0.4897272 7.306683e-04  -0.1 0.07544418
13   12  979.6200   2.9024929 1006.8874  -7826.05172  -0.1041306  0.47506562 -4.162737e-01  690.236397 5.2557434 -0.4896200 8.422497e-04  -0.1 0.07533143
14   13  979.5166   3.4078181 1006.4911  -7161.63183  -0.1040112  0.53674503 -3.743570e-01  639.257496 5.1669175 -0.4895166 9.678799e-04  -0.1 0.07520749
15   14  979.4103   3.9784377 1006.1422  -6546.28362  -0.1090448  0.60579281 -3.220495e-01  592.041353 5.0769687 -0.4894103 1.109277e-03  -0.1 0.07506964
16   15  979.2970   4.6221571 1005.8504  -5976.38781  -0.1179845  0.68310275 -2.600897e-01  548.308653 4.9857718 -0.4892970 1.268384e-03  -0.1 0.07491542
17   16  979.1733   5.3477348 1005.6251  -5448.59092  -0.1300093  0.76969033 -1.887668e-01  507.803028 4.8931862 -0.4891733 1.447405e-03  -0.1 0.07474235
18   17  979.0361   6.1650152 1005.4760  -4959.78491  -0.1446471  0.86671381 -1.080394e-01  470.288710 4.7990514 -0.4890361 1.648846e-03  -0.1 0.07454781
19   18  978.8831   7.0850823 1005.4124  -4507.08881  -0.1618312  0.97550082 -1.755438e-02  435.548762 4.7031842 -0.4888831 1.875573e-03  -0.1 0.07432903
20   19  978.7116   8.1204462 1005.4442  -4087.82969  -0.1815575  1.09758101  8.286949e-02  403.382711 4.6053717 -0.4887116 2.130873e-03  -0.1 0.07408290
21   20  978.5190   9.2852649 1005.5814  -3699.52733  -0.2039570  1.23472865  1.930903e-01  373.605414 4.5053659 -0.4885190 2.418535e-03  -0.1 0.07380599
22   21  978.3027  10.5956152 1005.8334  -3339.87976  -0.2293157  1.38901819  3.122779e-01  346.045843 4.4028745 -0.4883027 2.742958e-03  -0.1 0.07349441
23   22  978.0593  12.0698284 1006.2082  -3006.74934  -0.2579439  1.56289758  4.381346e-01  320.545740 4.2975504 -0.4880593 3.109287e-03  -0.1 0.07314375
24   23  977.7856  13.7289104 1006.7103  -2698.15075  -0.2902658  1.75928873  5.659158e-01  296.958658 4.1889776 -0.4877856 3.523585e-03  -0.1 0.07274895
25   24  977.4774  15.5970812 1007.3377  -2412.23972  -0.3268164  1.98172670  6.866557e-01  275.148806 4.0766514 -0.4874774 3.993086e-03  -0.1 0.07230419
26   25  977.1303  17.7024839 1008.0760  -2147.30294  -0.3682178  2.23455834  7.841999e-01  254.989753 3.9599532 -0.4871303 4.526519e-03  -0.1 0.07180270
27   26  976.7391  20.0781308 1008.8893  -1901.74949  -0.4152751  2.52323331  8.305278e-01  236.363011 3.8381143 -0.4867391 5.134591e-03  -0.1 0.07123656
28   27  976.2976  22.7632089 1009.7044  -1674.10371  -0.4689794  2.85474275  7.779609e-01  219.156041 3.7101659 -0.4862976 5.830678e-03  -0.1 0.07059634
29   28  975.7985  25.8049387 1010.3861  -1463.00060  -0.5305799  3.23830381  5.464764e-01  203.259497 3.5748662 -0.4857985 6.631880e-03  -0.1 0.06987071
30   29  975.2332  29.2613088 1010.6944  -1267.18458  -0.6017602  3.68646808  3.227112e-03  188.563153 3.4305947 -0.4852332 7.560673e-03  -0.1 0.06904576
